
-1,0.18239207865561313,0.22675295639038087,0.00010179821306309549,BatchAndEpochLR
0,0.2530531346342946,0.25030748784542084,0.0001,BatchAndEpochLR
1,0.26668245241083866,0.25883923172950746,9.819818665965754e-05,BatchAndEpochLR
2,0.27244854974382704,0.2619138970375061,9.63926921258551e-05,BatchAndEpochLR
3,0.2778669906254033,0.2653448534011841,9.458343193786322e-05,BatchAndEpochLR
4,0.2804791038955441,0.2704682573080063,9.277031785633283e-05,BatchAndEpochLR
5,0.2842428329336734,0.2712280935049057,9.095325760829622e-05,BatchAndEpochLR
6,0.2873211154197615,0.2759270797967911,8.91321546089e-05,BatchAndEpochLR
7,0.29115544725920406,0.2803639749288559,8.73069076571686e-05,BatchAndEpochLR
8,0.29496465232839414,0.28346900022029875,8.547741060271343e-05,BatchAndEpochLR
9,0.3018454051275593,0.2900333020687103,8.36435519798534e-05,BatchAndEpochLR
10,0.3063449390213605,0.295513724565506,8.180521460508584e-05,BatchAndEpochLR
11,0.31077825276147925,0.29978645956516264,7.996227513322693e-05,BatchAndEpochLR
12,0.31574819326097425,0.3025778714418411,7.811460356680608e-05,BatchAndEpochLR
13,0.31900512580653184,0.3052160121202469,7.626206271242883e-05,BatchAndEpochLR
14,0.32176789152258223,0.30640713214874266,7.440450757678327e-05,BatchAndEpochLR
14,0.32562786044965264,0.3132608174085617,7.440450757678327e-05,BatchAndEpochLR
15,0.33033938743837615,0.309768581032753,7.2541784693722e-05,BatchAndEpochLR
